YEAR,Month,pre,YearMonth
1982,12,35.4,1982-12-01
1983,1,34.8,1983-01-01
1983,2,21.6,1983-02-01
1983,3,38.4,1983-03-01
1983,4,38.7,1983-04-01
1983,5,20.6,1983-05-01
1983,6,4.8,1983-06-01
1983,7,2.8,1983-07-01
1983,8,11.2,1983-08-01
1983,9,5.3,1983-09-01
1983,10,3.6,1983-10-01
1983,11,11.1,1983-11-01
1983,12,25.4,1983-12-01
1984,1,28.2,1984-01-01
1984,2,15.7,1984-02-01
1984,3,48.9,1984-03-01
1984,4,17.7,1984-04-01
1984,5,23.2,1984-05-01
1984,6,2.0,1984-06-01
1984,7,2.0,1984-07-01
1984,8,4.2,1984-08-01
1984,9,2.1,1984-09-01
1984,10,12.2,1984-10-01
1984,11,31.4,1984-11-01
1984,12,37.1,1984-12-01
1985,1,35.2,1985-01-01
1985,2,22.4,1985-02-01
1985,3,23.3,1985-03-01
1985,4,14.8,1985-04-01
1985,5,8.9,1985-05-01
1985,6,1.8,1985-06-01
1985,7,1.8,1985-07-01
1985,8,3.8,1985-08-01
1985,9,2.2,1985-09-01
1985,10,8.5,1985-10-01
1985,11,16.1,1985-11-01
1985,12,37.8,1985-12-01
1986,1,12.9,1986-01-01
1986,2,36.3,1986-02-01
1986,3,48.7,1986-03-01
1986,4,32.2,1986-04-01
1986,5,22.1,1986-05-01
1986,6,7.6,1986-06-01
1986,7,2.0,1986-07-01
1986,8,8.7,1986-08-01
1986,9,4.6,1986-09-01
1986,10,9.7,1986-10-01
1986,11,40.3,1986-11-01
1986,12,54.0,1986-12-01
1987,1,6.2,1987-01-01
1987,2,23.1,1987-02-01
1987,3,61.1,1987-03-01
1987,4,16.0,1987-04-01
1987,5,12.4,1987-05-01
1987,6,1.8,1987-06-01
1987,7,8.5,1987-07-01
1987,8,5.9,1987-08-01
1987,9,4.7,1987-09-01
1987,10,42.1,1987-10-01
1987,11,7.3,1987-11-01
1987,12,31.0,1987-12-01
1988,1,37.8,1988-01-01
1988,2,53.1,1988-02-01
1988,3,36.4,1988-03-01
1988,4,35.5,1988-04-01
1988,5,7.7,1988-05-01
1988,6,5.1,1988-06-01
1988,7,11.9,1988-07-01
1988,8,10.1,1988-08-01
1988,9,5.7,1988-09-01
1988,10,7.7,1988-10-01
1988,11,8.9,1988-11-01
1988,12,22.3,1988-12-01
1989,1,21.5,1989-01-01
1989,2,25.4,1989-02-01
1989,3,39.8,1989-03-01
1989,4,10.3,1989-04-01
1989,5,8.5,1989-05-01
1989,6,1.9,1989-06-01
1989,7,1.7,1989-07-01
1989,8,2.6,1989-08-01
1989,9,6.4,1989-09-01
1989,10,11.2,1989-10-01
1989,11,20.7,1989-11-01
1989,12,48.4,1989-12-01
1990,1,35.0,1990-01-01
1990,2,41.2,1990-02-01
1990,3,17.4,1990-03-01
1990,4,26.1,1990-04-01
1990,5,8.0,1990-05-01
1990,6,1.1,1990-06-01
1990,7,2.8,1990-07-01
1990,8,2.1,1990-08-01
1990,9,1.0,1990-09-01
1990,10,12.7,1990-10-01
1990,11,6.9,1990-11-01
1990,12,25.6,1990-12-01
1991,1,45.9,1991-01-01
1991,2,31.3,1991-02-01
1991,3,67.9,1991-03-01
1991,4,14.0,1991-04-01
1991,5,14.5,1991-05-01
1991,6,3.2,1991-06-01
1991,7,2.2,1991-07-01
1991,8,1.1,1991-08-01
1991,9,2.1,1991-09-01
1991,10,11.3,1991-10-01
1991,11,13.6,1991-11-01
1991,12,57.3,1991-12-01
1992,1,43.0,1992-01-01
1992,2,28.5,1992-02-01
1992,3,38.2,1992-03-01
1992,4,37.1,1992-04-01
1992,5,38.3,1992-05-01
1992,6,8.3,1992-06-01
1992,7,3.5,1992-07-01
1992,8,5.8,1992-08-01
1992,9,4.2,1992-09-01
1992,10,5.2,1992-10-01
1992,11,13.6,1992-11-01
1992,12,53.7,1992-12-01
1993,1,41.7,1993-01-01
1993,2,61.0,1993-02-01
1993,3,34.1,1993-03-01
1993,4,32.1,1993-04-01
1993,5,25.1,1993-05-01
1993,6,7.8,1993-06-01
1993,7,4.1,1993-07-01
1993,8,3.2,1993-08-01
1993,9,3.8,1993-09-01
1993,10,8.5,1993-10-01
1993,11,31.8,1993-11-01
1993,12,9.2,1993-12-01
1994,1,28.7,1994-01-01
1994,2,16.2,1994-02-01
1994,3,44.2,1994-03-01
1994,4,19.8,1994-04-01
1994,5,19.0,1994-05-01
1994,6,5.3,1994-06-01
1994,7,3.7,1994-07-01
1994,8,3.4,1994-08-01
1994,9,3.7,1994-09-01
1994,10,19.4,1994-10-01
1994,11,44.7,1994-11-01
1994,12,22.1,1994-12-01
1995,1,11.3,1995-01-01
1995,2,34.5,1995-02-01
1995,3,30.5,1995-03-01
1995,4,42.0,1995-04-01
1995,5,21.4,1995-05-01
1995,6,7.2,1995-06-01
1995,7,5.4,1995-07-01
1995,8,0.9,1995-08-01
1995,9,10.1,1995-09-01
1995,10,7.1,1995-10-01
1995,11,4.6,1995-11-01
1995,12,38.6,1995-12-01
1996,1,44.8,1996-01-01
1996,2,47.9,1996-02-01
1996,3,73.3,1996-03-01
1996,4,33.2,1996-04-01
1996,5,19.7,1996-05-01
1996,6,4.6,1996-06-01
1996,7,3.5,1996-07-01
1996,8,2.7,1996-08-01
1996,9,4.6,1996-09-01
1996,10,9.7,1996-10-01
1996,11,8.1,1996-11-01
1996,12,12.3,1996-12-01
1997,1,33.9,1997-01-01
1997,2,8.7,1997-02-01
1997,3,59.1,1997-03-01
1997,4,27.5,1997-04-01
1997,5,14.1,1997-05-01
1997,6,7.6,1997-06-01
1997,7,5.5,1997-07-01
1997,8,1.3,1997-08-01
1997,9,5.9,1997-09-01
1997,10,10.0,1997-10-01
1997,11,23.5,1997-11-01
1997,12,33.0,1997-12-01
1998,1,53.6,1998-01-01
1998,2,44.8,1998-02-01
1998,3,43.6,1998-03-01
1998,4,23.2,1998-04-01
1998,5,15.2,1998-05-01
1998,6,2.5,1998-06-01
1998,7,6.1,1998-07-01
1998,8,4.0,1998-08-01
1998,9,8.6,1998-09-01
1998,10,8.0,1998-10-01
1998,11,6.2,1998-11-01
1998,12,6.9,1998-12-01
1999,1,37.6,1999-01-01
1999,2,38.2,1999-02-01
1999,3,48.1,1999-03-01
1999,4,14.4,1999-04-01
1999,5,8.1,1999-05-01
1999,6,1.2,1999-06-01
1999,7,4.9,1999-07-01
1999,8,5.1,1999-08-01
1999,9,8.2,1999-09-01
1999,10,9.6,1999-10-01
1999,11,20.3,1999-11-01
1999,12,13.4,1999-12-01
2000,1,44.4,2000-01-01
2000,2,13.9,2000-02-01
2000,3,17.5,2000-03-01
2000,4,6.2,2000-04-01
2000,5,4.2,2000-05-01
2000,6,2.9,2000-06-01
2000,7,1.6,2000-07-01
2000,8,1.6,2000-08-01
2000,9,7.9,2000-09-01
2000,10,22.3,2000-10-01
2000,11,28.8,2000-11-01
2000,12,46.4,2000-12-01
2001,1,18.8,2001-01-01
2001,2,14.9,2001-02-01
2001,3,24.1,2001-03-01
2001,4,7.4,2001-04-01
2001,5,12.6,2001-05-01
2001,6,4.0,2001-06-01
2001,7,2.9,2001-07-01
2001,8,3.1,2001-08-01
2001,9,4.1,2001-09-01
2001,10,11.4,2001-10-01
2001,11,13.7,2001-11-01
2001,12,45.8,2001-12-01
2002,1,36.9,2002-01-01
2002,2,18.7,2002-02-01
2002,3,22.0,2002-03-01
2002,4,43.5,2002-04-01
2002,5,13.7,2002-05-01
2002,6,1.4,2002-06-01
2002,7,2.7,2002-07-01
2002,8,3.6,2002-08-01
2002,9,1.0,2002-09-01
2002,10,6.1,2002-10-01
2002,11,25.4,2002-11-01
2002,12,28.5,2002-12-01
2003,1,34.4,2003-01-01
2003,2,28.6,2003-02-01
2003,3,40.5,2003-03-01
2003,4,40.2,2003-04-01
2003,5,14.4,2003-05-01
2003,6,4.1,2003-06-01
2003,7,3.6,2003-07-01
2003,8,4.3,2003-08-01
2003,9,4.6,2003-09-01
2003,10,8.7,2003-10-01
2003,11,16.0,2003-11-01
2003,12,36.1,2003-12-01
2004,1,56.6,2004-01-01
2004,2,12.4,2004-02-01
2004,3,24.6,2004-03-01
2004,4,41.0,2004-04-01
2004,5,18.5,2004-05-01
2004,6,4.0,2004-06-01
2004,7,9.2,2004-07-01
2004,8,1.1,2004-08-01
2004,9,4.0,2004-09-01
2004,10,6.5,2004-10-01
2004,11,26.0,2004-11-01
2004,12,54.0,2004-12-01
2005,1,45.9,2005-01-01
2005,2,32.3,2005-02-01
2005,3,40.1,2005-03-01
2005,4,13.3,2005-04-01
2005,5,17.7,2005-05-01
2005,6,3.8,2005-06-01
2005,7,1.7,2005-07-01
2005,8,5.0,2005-08-01
2005,9,2.9,2005-09-01
2005,10,4.1,2005-10-01
2005,11,23.2,2005-11-01
2005,12,19.1,2005-12-01
2006,1,42.7,2006-01-01
2006,2,28.8,2006-02-01
2006,3,21.5,2006-03-01
2006,4,29.3,2006-04-01
2006,5,6.9,2006-05-01
2006,6,0.6,2006-06-01
2006,7,3.4,2006-07-01
2006,8,1.5,2006-08-01
2006,9,4.7,2006-09-01
2006,10,17.6,2006-10-01
2006,11,22.9,2006-11-01
2006,12,51.2,2006-12-01
2007,1,19.9,2007-01-01
2007,2,31.3,2007-02-01
2007,3,49.6,2007-03-01
2007,4,36.3,2007-04-01
2007,5,11.9,2007-05-01
2007,6,7.6,2007-06-01
2007,7,4.8,2007-07-01
2007,8,2.5,2007-08-01
2007,9,2.6,2007-09-01
2007,10,5.0,2007-10-01
2007,11,12.4,2007-11-01
2007,12,21.2,2007-12-01
2008,1,40.4,2008-01-01
2008,2,13.4,2008-02-01
2008,3,4.5,2008-03-01
2008,4,9.1,2008-04-01
2008,5,5.7,2008-05-01
2008,6,2.5,2008-06-01
2008,7,3.0,2008-07-01
2008,8,3.0,2008-08-01
2008,9,7.9,2008-09-01
2008,10,16.4,2008-10-01
2008,11,17.5,2008-11-01
2008,12,22.5,2008-12-01
2009,1,24.9,2009-01-01
2009,2,21.9,2009-02-01
2009,3,41.8,2009-03-01
2009,4,42.4,2009-04-01
2009,5,10.6,2009-05-01
2009,6,8.4,2009-06-01
2009,7,1.2,2009-07-01
2009,8,3.6,2009-08-01
2009,9,12.3,2009-09-01
2009,10,9.9,2009-10-01
2009,11,30.0,2009-11-01
2009,12,36.5,2009-12-01
2010,1,14.1,2010-01-01
2010,2,32.3,2010-02-01
2010,3,21.5,2010-03-01
2010,4,29.6,2010-04-01
2010,5,19.7,2010-05-01
2010,6,3.4,2010-06-01
2010,7,1.1,2010-07-01
2010,8,4.5,2010-08-01
2010,9,3.5,2010-09-01
2010,10,7.3,2010-10-01
2010,11,6.9,2010-11-01
2010,12,5.8,2010-12-01
2011,1,32.6,2011-01-01
2011,2,47.9,2011-02-01
2011,3,26.1,2011-03-01
2011,4,22.0,2011-04-01
2011,5,15.1,2011-05-01
2011,6,4.3,2011-06-01
2011,7,2.4,2011-07-01
2011,8,8.3,2011-08-01
2011,9,8.2,2011-09-01
2011,10,22.1,2011-10-01
2011,11,39.2,2011-11-01
2011,12,3.8,2011-12-01
2012,1,15.7,2012-01-01
2012,2,35.6,2012-02-01
2012,3,20.0,2012-03-01
2012,4,23.0,2012-04-01
2012,5,9.6,2012-05-01
2012,6,6.3,2012-06-01
2012,7,8.1,2012-07-01
2012,8,3.5,2012-08-01
2012,9,4.6,2012-09-01
2012,10,12.7,2012-10-01
2012,11,37.9,2012-11-01
2012,12,40.0,2012-12-01
2013,1,23.7,2013-01-01
2013,2,27.7,2013-02-01
2013,3,26.7,2013-03-01
2013,4,24.8,2013-04-01
2013,5,15.0,2013-05-01
2013,6,3.4,2013-06-01
2013,7,1.3,2013-07-01
2013,8,7.9,2013-08-01
2013,9,3.1,2013-09-01
2013,10,6.7,2013-10-01
2013,11,35.2,2013-11-01
2013,12,24.5,2013-12-01
2014,1,35.7,2014-01-01
2014,2,21.0,2014-02-01
2014,3,33.3,2014-03-01
2014,4,24.1,2014-04-01
2014,5,11.6,2014-05-01
2014,6,3.2,2014-06-01
2014,7,3.2,2014-07-01
2014,8,1.7,2014-08-01
2014,9,3.4,2014-09-01
2014,10,19.4,2014-10-01
2014,11,26.9,2014-11-01
2014,12,16.6,2014-12-01
2015,1,23.9,2015-01-01
2015,2,32.7,2015-02-01
2015,3,39.4,2015-03-01
2015,4,16.3,2015-04-01
2015,5,14.9,2015-05-01
2015,6,1.7,2015-06-01
2015,7,6.3,2015-07-01
2015,8,4.6,2015-08-01
2015,9,5.7,2015-09-01
2015,10,17.5,2015-10-01
2015,11,18.9,2015-11-01
2015,12,33.1,2015-12-01
2016,1,26.6,2016-01-01
2016,2,21.6,2016-02-01
2016,3,36.8,2016-03-01
2016,4,31.3,2016-04-01
2016,5,16.4,2016-05-01
2016,6,6.0,2016-06-01
2016,7,6.6,2016-07-01
2016,8,0.9,2016-08-01
2016,9,5.7,2016-09-01
2016,10,9.1,2016-10-01
2016,11,12.6,2016-11-01
2016,12,24.9,2016-12-01
2017,1,34.5,2017-01-01
2017,2,36.8,2017-02-01
2017,3,38.0,2017-03-01
2017,4,22.6,2017-04-01
2017,5,18.1,2017-05-01
2017,6,2.7,2017-06-01
2017,7,3.2,2017-07-01
2017,8,2.5,2017-08-01
2017,9,3.3,2017-09-01
2017,10,8.9,2017-10-01
2017,11,15.4,2017-11-01
2017,12,12.7,2017-12-01
2018,1,20.3,2018-01-01
2018,2,32.6,2018-02-01
2018,3,19.7,2018-03-01
2018,4,35.1,2018-04-01
2018,5,25.0,2018-05-01
2018,6,5.2,2018-06-01
2018,7,2.0,2018-07-01
2018,8,2.4,2018-08-01
2018,9,3.2,2018-09-01
2018,10,15.8,2018-10-01
2018,11,31.4,2018-11-01
2018,12,24.0,2018-12-01
2019,1,39.3,2019-01-01
2019,2,33.9,2019-02-01
2019,3,54.6,2019-03-01
2019,4,45.8,2019-04-01
2019,5,18.7,2019-05-01
2019,6,3.3,2019-06-01
2019,7,2.8,2019-07-01
2019,8,2.4,2019-08-01
2019,9,4.5,2019-09-01
2019,10,9.4,2019-10-01
2019,11,18.1,2019-11-01
2019,12,27.6,2019-12-01
2020,1,38.6,2020-01-01
2020,2,30.4,2020-02-01
2020,3,42.5,2020-03-01
2020,4,50.1,2020-04-01
2020,5,15.1,2020-05-01
2020,6,2.0,2020-06-01
2020,7,3.9,2020-07-01
2020,8,7.1,2020-08-01
2020,9,1.4,2020-09-01
2020,10,7.3,2020-10-01
2020,11,32.3,2020-11-01
2020,12,28.1,2020-12-01
2021,1,14.1,2021-01-01
2021,2,21.5,2021-02-01
2021,3,24.2,2021-03-01
2021,4,11.0,2021-04-01
2021,5,14.8,2021-05-01
2021,6,1.1,2021-06-01
2021,7,6.0,2021-07-01
2021,8,5.0,2021-08-01
2021,9,3.0,2021-09-01
2021,10,9.6,2021-10-01
2021,11,14.2,2021-11-01
2021,12,21.3,2021-12-01
2022,1,36.6,2022-01-01
2022,2,20.5,2022-02-01
2022,3,22.2,2022-03-01
2022,4,23.4,2022-04-01
2022,5,16.6,2022-05-01
2022,6,2.8,2022-06-01
2022,7,6.0,2022-07-01
2022,8,1.6,2022-08-01
2022,9,5.0,2022-09-01
2022,10,6.7,2022-10-01
2022,11,16.8,2022-11-01
2022,12,27.9,2022-12-01
2023,1,37.2,2023-01-01
2023,2,28.6,2023-02-01
2023,3,29.5,2023-03-01
2023,4,26.0,2023-04-01
2023,5,19.3,2023-05-01
2023,6,7.6,2023-06-01
2023,7,3.4,2023-07-01
2023,8,3.8,2023-08-01
2023,9,4.2,2023-09-01
2023,10,9.4,2023-10-01
2023,11,16.1,2023-11-01
2023,12,18.5,2023-12-01
